year,state,sum_occur,sum_arr,murder_o,murder_arr,robbery_o,robbery_a,harassment_o,harassment_a,theft_o,theft_a,violent_o,violent_a,population,rate
2017,동작구,3330,2242,1,1,7,9,396,173,1226,593,1700,1466,408493,0.333
2017,마포구,5278,3499,3,3,8,8,500,429,2094,837,2673,2222,385783,0.5278
2017,서대문구,3113,2299,4,4,1,2,202,181,1230,719,1676,1393,325028,0.3113
2017,서초구,4708,3237,9,10,13,7,470,283,1812,835,2404,2102,445401,0.4708
2017,성동구,2767,2031,1,1,3,3,132,106,1072,543,1559,1378,312711,0.2767
2017,성북구,3434,2479,7,7,8,8,173,134,1344,703,1902,1627,455407,0.3434
2017,송파구,5576,3870,6,6,1,3,288,242,2274,1026,3007,2593,671173,0.5576
2017,양천구,3882,2660,3,2,3,2,138,122,1590,756,2148,1778,475018,0.3882
2017,영등포구,5969,4012,15,13,5,5,455,267,2304,1108,3190,2619,402024,0.5969
2017,용산구,4060,2936,1,1,5,4,327,289,1346,626,2381,2016,244444,0.406
2017,은평구,3883,3207,6,6,4,4,230,213,1387,934,2256,2050,491202,0.3883
2017,종로구,4057,4437,7,9,10,15,253,1412,1644,905,2143,2096,164257,0.4057
2017,중구,4184,2851,1,-,9,9,267,149,1846,889,2061,1804,134593,0.4184
2017,중랑구,4571,3392,5,5,3,4,172,144,1533,813,2858,2426,412780,0.4571
2018,강남구,7513,5196,10,13,14,10,600,523,3004,1317,3885,3333,547453,0.7513
2018,강동구,3919,2789,3,3,7,7,170,143,1515,765,2224,1871,431920,0.3919
2018,강북구,3437,2743,8,6,7,7,188,135,1112,603,2122,1992,322915,0.3437
2018,강서구,4629,3469,11,9,6,3,269,246,1724,982,2619,2229,603611,0.4629
2018,관악구,5026,3653,9,9,10,12,352,305,2012,1025,2643,2302,520040,0.5026
2018,광진구,3915,2789,7,5,2,1,229,184,1769,974,1908,1625,371063,0.3915
2018,구로구,4810,3338,8,8,9,9,250,181,1717,787,2826,2353,438486,0.481
2018,금천구,3293,2567,6,6,7,6,200,185,1168,645,1912,1725,254021,0.3293
2018,노원구,4007,2725,5,4,5,5,194,173,1422,585,2381,1958,548160,0.4007
2018,도봉구,2249,1676,1,1,5,3,113,117,781,431,1349,1124,341649,0.2249
2018,동대문구,3680,2968,2,2,5,4,145,112,1447,930,2081,1920,364338,0.368
2018,동작구,3100,2090,3,3,7,7,288,154,1151,532,1651,1394,409385,0.31
2018,마포구,5172,3569,6,6,6,7,473,396,2011,882,2676,2278,386359,0.5172
2018,서대문구,2802,2016,5,4,3,3,206,189,1062,585,1526,1235,323080,0.2802
2018,서초구,4726,3183,5,5,5,5,470,315,1851,838,2395,2020,438163,0.4726
2018,성동구,2457,1787,2,2,5,8,126,102,999,487,1325,1188,316463,0.2457
2018,성북구,3042,2277,7,6,1,2,183,140,1164,635,1687,1494,447687,0.3042
2018,송파구,5807,4051,5,6,6,8,309,254,2352,1034,3135,2749,673507,0.5807
2018,양천구,3515,2459,2,3,4,14,120,111,1384,646,2005,1685,468145,0.3515
2018,영등포구,5840,3922,17,15,8,6,391,267,2292,1064,3132,2570,403600,0.584
2018,용산구,3411,2543,1,1,3,2,331,285,1096,522,1980,1733,245090,0.3411
2018,은평구,3590,2863,8,8,1,1,188,169,1278,816,2115,1869,487666,0.359
2018,종로구,3690,3913,6,7,3,7,236,1100,1483,969,1962,1830,163026,0.369
2018,중구,4030,2679,2,2,11,11,207,115,1855,832,1955,1719,135633,0.403
2018,중랑구,4288,3222,4,5,3,3,174,145,1526,876,2581,2193,408147,0.4288
